date,eur_cad_rate
13-10-2000,1.313449
16-10-2000,1.288252
17-10-2000,1.290425
18-10-2000,1.299237
19-10-2000,1.272409
20-10-2000,1.275992
23-10-2000,1.270593
24-10-2000,1.265608
25-10-2000,1.262252
26-10-2000,1.254678
27-10-2000,1.265287
30-10-2000,1.300927
31-10-2000,1.289561
01-11-2000,1.292755
02-11-2000,1.316214
03-11-2000,1.318057
06-11-2000,1.334889
07-11-2000,1.321067
08-11-2000,1.316553
09-11-2000,1.315639
10-11-2000,1.341917
13-11-2000,1.329616
14-11-2000,1.327183
15-11-2000,1.329947
16-11-2000,1.331789
17-11-2000,1.330443
20-11-2000,1.322849
21-11-2000,1.327093
22-11-2000,1.312583
23-11-2000,1.306859
24-11-2000,1.304242
27-11-2000,1.293547
28-11-2000,1.307311
29-11-2000,1.319286
30-11-2000,1.330683
01-12-2000,1.342757
04-12-2000,1.357569
05-12-2000,1.369876
06-12-2000,1.35386
07-12-2000,1.365839
08-12-2000,1.354818
11-12-2000,1.342308
12-12-2000,1.336962
13-12-2000,1.332026
14-12-2000,1.343514
15-12-2000,1.36152
18-12-2000,1.368744
19-12-2000,1.363127
20-12-2000,1.375778
21-12-2000,1.392875
22-12-2000,1.400451
25-12-2000,1.407799
26-12-2000,1.407885
27-12-2000,1.407614
28-12-2000,1.402525
29-12-2000,1.395921
01-01-2001,1.411388
02-01-2001,1.414001
03-01-2001,1.424664
04-01-2001,1.419918
05-01-2001,1.432822
08-01-2001,1.433538
09-01-2001,1.404288
10-01-2001,1.409987
11-01-2001,1.412805
12-01-2001,1.422826
15-01-2001,1.415506
16-01-2001,1.414446
17-01-2001,1.413182
18-01-2001,1.418442
19-01-2001,1.411472
22-01-2001,1.413121
23-01-2001,1.416939
24-01-2001,1.405347
25-01-2001,1.385406
26-01-2001,1.395521
29-01-2001,1.390185
30-01-2001,1.376963
31-01-2001,1.397253
01-02-2001,1.409958
02-02-2001,1.404961
05-02-2001,1.409819
06-02-2001,1.413791
07-02-2001,1.402927
08-02-2001,1.400918
09-02-2001,1.384136
12-02-2001,1.403733
13-02-2001,1.409857
14-02-2001,1.398386
15-02-2001,1.394011
16-02-2001,1.398195
19-02-2001,1.406881
20-02-2001,1.397616
21-02-2001,1.399174
22-02-2001,1.391689
23-02-2001,1.389158
26-02-2001,1.398096
27-02-2001,1.398716
28-02-2001,1.41079
01-03-2001,1.425921
02-03-2001,1.449228
05-03-2001,1.435832
06-03-2001,1.428879
07-03-2001,1.436915
08-03-2001,1.446868
09-03-2001,1.441593
12-03-2001,1.444752
13-03-2001,1.43432
14-03-2001,1.409785
15-03-2001,1.416403
16-03-2001,1.401395
19-03-2001,1.401496
20-03-2001,1.409682
21-03-2001,1.42406
22-03-2001,1.401264
23-03-2001,1.392569
26-03-2001,1.394313
27-03-2001,1.396744
28-03-2001,1.39411
29-03-2001,1.389058
30-03-2001,1.382997
02-04-2001,1.382317
03-04-2001,1.399853
04-04-2001,1.413241
05-04-2001,1.418955
06-04-2001,1.415275
09-04-2001,1.411972
10-04-2001,1.402492
11-04-2001,1.38506
12-04-2001,1.379104
13-04-2001,1.389361
16-04-2001,1.389207
17-04-2001,1.371629
18-04-2001,1.38013
19-04-2001,1.383163
20-04-2001,1.389151
23-04-2001,1.389012
24-04-2001,1.389122
25-04-2001,1.382462
26-04-2001,1.38893
27-04-2001,1.392957
30-04-2001,1.3746
01-05-2001,1.36429
02-05-2001,1.36866
03-05-2001,1.372163
04-05-2001,1.363406
07-05-2001,1.370109
08-05-2001,1.373039
09-05-2001,1.364629
10-05-2001,1.364527
11-05-2001,1.359805
14-05-2001,1.357148
15-05-2001,1.356705
16-05-2001,1.358878
17-05-2001,1.359018
18-05-2001,1.354969
21-05-2001,1.352023
22-05-2001,1.347393
23-05-2001,1.332393
24-05-2001,1.327313
25-05-2001,1.325944
28-05-2001,1.329651
29-05-2001,1.327581
30-05-2001,1.313695
31-05-2001,1.322106
01-06-2001,1.300362
04-06-2001,1.302783
05-06-2001,1.300916
06-06-2001,1.307249
07-06-2001,1.29127
08-06-2001,1.295095
11-06-2001,1.292287
12-06-2001,1.279518
13-06-2001,1.299973
14-06-2001,1.296848
15-06-2001,1.311059
18-06-2001,1.312242
19-06-2001,1.321271
20-06-2001,1.310307
21-06-2001,1.310341
22-06-2001,1.301098
25-06-2001,1.305993
26-06-2001,1.306813
27-06-2001,1.310766
28-06-2001,1.304319
29-06-2001,1.284838
02-07-2001,1.287183
03-07-2001,1.283785
04-07-2001,1.2814
05-07-2001,1.279814
06-07-2001,1.265181
09-07-2001,1.289872
10-07-2001,1.294381
11-07-2001,1.299588
12-07-2001,1.309766
13-07-2001,1.308171
16-07-2001,1.310799
17-07-2001,1.310407
18-07-2001,1.32133
19-07-2001,1.342624
20-07-2001,1.342811
24-07-2001,1.342788
25-07-2001,1.344686
26-07-2001,1.349134
27-07-2001,1.346321
30-07-2001,1.343828
31-07-2001,1.336152
01-08-2001,1.343688
02-08-2001,1.353629
03-08-2001,1.355415
06-08-2001,1.35376
07-08-2001,1.343932
08-08-2001,1.347186
09-08-2001,1.351703
10-08-2001,1.372589
13-08-2001,1.375463
14-08-2001,1.379831
15-08-2001,1.386618
16-08-2001,1.39583
17-08-2001,1.401685
20-08-2001,1.414229
